Date,Open,High,Low,Close,Adj Close,Volume
12/31/2021,74.531403,75.399002,74.463097,74.531502,74.531502,0
1/3/2022,75.1856,75.1856,74.159401,74.986,74.986,0
1/4/2022,74.372803,75.568001,74.361298,74.371803,74.371803,0
1/5/2022,75.263,76.122902,75.168999,75.263,75.263,0
1/6/2022,76.661598,77.291702,76.043701,76.661598,76.661598,0
1/7/2022,76.334396,76.475998,75.079002,76.353699,76.353699,0
1/10/2022,75.290298,75.754898,74.830299,75.445999,75.445999,0
1/11/2022,74.874001,75.098099,74.479599,74.856003,74.856003,0
1/12/2022,74.490501,74.886002,74.2892,74.453697,74.453697,0
1/13/2022,74.564598,76.532997,74.461998,74.564499,74.564499,0
1/14/2022,76.307297,76.946999,75.580002,76.306,76.306,0
1/17/2022,76.306503,76.769997,75.601997,76.324501,76.324501,0
1/18/2022,76.061996,76.841003,75.845398,76.061996,76.061996,0
1/19/2022,76.808502,77.135597,75.845001,76.808502,76.808502,0
1/20/2022,76.319298,76.768997,75.982498,76.316597,76.316597,0
1/21/2022,76.747398,77.448997,76.273003,76.091301,76.091301,0
1/24/2022,77.377098,79.475998,76.970001,77.405998,77.405998,0
1/25/2022,78.612503,79.304001,78.236,78.653503,78.653503,0
1/26/2022,78.735703,80.278999,78.503998,78.735703,78.735703,0
1/27/2022,79.2202,79.704002,77.407997,79.1996,79.1996,0
1/28/2022,78.072502,78.286003,77.401398,78.072502,78.072502,0
1/31/2022,77.877998,77.9617,77.266502,77.735802,77.735802,0
2/1/2022,77.303902,77.626099,76.434303,77.3078,77.3078,0
2/2/2022,76.691597,76.769501,75.674004,76.691597,76.691597,0
2/3/2022,76.154503,76.785004,76.123001,76.172997,76.172997,0
2/4/2022,76.412804,76.442001,75.649002,76.411499,76.411499,0
2/7/2022,75.8638,76.011398,75.366798,75.827797,75.827797,0
2/8/2022,75.414001,75.583,74.971298,75.417397,75.417397,0
2/9/2022,75.084396,75.142601,74.535599,75.0355,75.0355,0
2/10/2022,74.712097,74.926697,74.246002,74.710197,74.710197,0
2/11/2022,75.028297,76.153999,74.810997,75.027298,75.027298,0
2/14/2022,77.352997,77.985298,76.036003,77.454399,77.454399,0
2/15/2022,76.487999,76.779999,75.098999,76.485497,76.485497,0
2/16/2022,75.473503,75.512604,74.834,75.473,75.473,0
2/17/2022,75.0345,76.634003,75.032898,75.0345,75.0345,0
2/18/2022,76.128601,77.288002,75.6306,76.128601,76.128601,0
2/21/2022,78.028999,79.625,76.199997,77.365799,77.365799,0
2/22/2022,80.389,80.905998,78.635101,80.383003,80.383003,0
2/23/2022,78.831497,80.947998,78.577904,78.809502,78.809502,0
2/24/2022,81.414398,89.936096,81.405701,81.414398,81.414398,0
2/25/2022,84.915001,85.754303,81.509003,84.915001,84.915001,0
2/28/2022,83.865799,112.593697,83.495003,83.261002,83.261002,0
3/1/2022,104.973503,116.2985,89.391998,104.973503,104.973503,0
3/2/2022,108.4795,117.255997,103.005997,108.4795,108.4795,0
3/3/2022,102.714996,118.648499,97.964996,102.714996,102.714996,0
3/4/2022,109.714996,115.3899,103.768997,109.464996,109.464996,0
3/7/2022,139.253998,154.714996,134.464996,108.8451,108.8451,0
3/8/2022,127.464897,141.464996,122,138.965103,138.965103,0
3/9/2022,129.964996,138.964996,115.82,129.964996,129.964996,0
3/10/2022,135.964996,139.964996,116.132004,138.714996,138.714996,0
3/11/2022,135.464996,135.464996,113.389999,133.464996,133.464996,0
3/14/2022,132.964996,132.970001,110.1651,132.088699,132.088699,0
,,,,,,
